Epoch no. 1 | instant loss = 0.2356 | avg_loss = 0.2356
Epoch no. 1 | instant loss = 0.213 | avg_loss = 0.213
Epoch no. 1 | instant loss = 0.1504 | avg_loss = 0.1504
Epoch no. 1 | instant loss = 0.0979 | avg_loss = 0.0979
Epoch no. 1 | instant loss = 0.2579 | avg_loss = 0.2579
Epoch no. 1 | instant loss = 0.0687 | avg_loss = 0.0687
Epoch no. 1 | instant loss = 0.0878 | avg_loss = 0.0878
Epoch no. 1 | instant loss = 0.146 | avg_loss = 0.146
Epoch no. 1 | instant loss = 0.0212 | avg_loss = 0.0212
Epoch no. 1 | instant loss = 0.0935 | avg_loss = 0.0935
Epoch no. 1 | instant loss = 0.054 | avg_loss = 0.054
Epoch no. 1 | instant loss = 0.1456 | avg_loss = 0.1456
Epoch no. 1 | instant loss = 0.0583 | avg_loss = 0.0583
Epoch no. 1 | instant loss = 0.0481 | avg_loss = 0.0481
Epoch no. 1 | instant loss = 0.0123 | avg_loss = 0.0123
Epoch no. 1 | instant loss = 0.0535 | avg_loss = 0.0535
Epoch no. 1 | instant loss = 0.0396 | avg_loss = 0.0396
Epoch no. 1 | instant loss = 0.0127 | avg_loss = 0.0127
Epoch no. 1 | instant loss = 0.0245 | avg_loss = 0.0245
Epoch no. 1 | instant loss = 0.0498 | avg_loss = 0.0498
Epoch no. 1 | instant loss = 0.0171 | avg_loss = 0.0171
Epoch no. 1 | instant loss = 0.0214 | avg_loss = 0.0214
Epoch no. 1 | instant loss = 0.0209 | avg_loss = 0.0209
Epoch no. 1 | instant loss = 0.0274 | avg_loss = 0.0274
Epoch no. 1 | instant loss = 0.0273 | avg_loss = 0.0273
Epoch no. 1 | instant loss = 0.006 | avg_loss = 0.006
Epoch no. 1 | instant loss = 0.0369 | avg_loss = 0.0369
Epoch no. 1 | instant loss = 0.0427 | avg_loss = 0.0427
Epoch no. 1 | instant loss = 0.0135 | avg_loss = 0.0135
Epoch no. 1 | instant loss = 0.0314 | avg_loss = 0.0314
Epoch no. 1 | instant loss = 0.0124 | avg_loss = 0.0124
Epoch no. 1 | instant loss = 0.0038 | avg_loss = 0.0038
Epoch no. 1 | instant loss = 0.0288 | avg_loss = 0.0288
Epoch no. 1 | instant loss = 0.0661 | avg_loss = 0.0661
Epoch no. 1 | instant loss = 0.0029 | avg_loss = 0.0029
Epoch no. 1 | instant loss = 0.0111 | avg_loss = 0.0111
Epoch no. 1 | instant loss = 0.0448 | avg_loss = 0.0448
Epoch no. 1 | instant loss = 0.0134 | avg_loss = 0.0134
Epoch no. 1 | instant loss = 0.0165 | avg_loss = 0.0165
Epoch no. 1 | instant loss = 0.0344 | avg_loss = 0.0344
Epoch no. 1 | instant loss = 0.0068 | avg_loss = 0.0068
Epoch no. 1 | instant loss = 0.0062 | avg_loss = 0.0062
Epoch no. 1 | instant loss = 0.0095 | avg_loss = 0.0095
Epoch no. 1 | instant loss = 0.0132 | avg_loss = 0.0132
Epoch no. 1 | instant loss = 0.0044 | avg_loss = 0.0044
Epoch no. 1 | instant loss = 0.0111 | avg_loss = 0.0111
Epoch no. 1 | instant loss = 0.0224 | avg_loss = 0.0224
Epoch no. 1 | instant loss = 0.0083 | avg_loss = 0.0083
Epoch no. 1 | instant loss = 0.0045 | avg_loss = 0.0045
Epoch no. 1 | instant loss = 0.0036 | avg_loss = 0.0036
Epoch no. 1 | instant loss = 0.0349 | avg_loss = 0.0349
Epoch no. 1 | instant loss = 0.0106 | avg_loss = 0.0106
Epoch no. 1 | instant loss = 0.0084 | avg_loss = 0.0084
Epoch no. 1 | instant loss = 0.0023 | avg_loss = 0.0023
Epoch no. 1 | instant loss = 0.0054 | avg_loss = 0.0054
Epoch no. 1 | instant loss = 0.0018 | avg_loss = 0.0018
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0062 | avg_loss = 0.0062
Epoch no. 1 | instant loss = 0.0185 | avg_loss = 0.0185
Epoch no. 1 | instant loss = 0.0069 | avg_loss = 0.0069
Epoch no. 1 | instant loss = 0.0012 | avg_loss = 0.0012
Epoch no. 1 | instant loss = 0.0007 | avg_loss = 0.0007
Epoch no. 1 | instant loss = 0.019 | avg_loss = 0.019
Epoch no. 1 | instant loss = 0.0036 | avg_loss = 0.0036
Epoch no. 1 | instant loss = 0.0315 | avg_loss = 0.0315
Epoch no. 1 | instant loss = 0.0052 | avg_loss = 0.0052
Epoch no. 1 | instant loss = 0.0035 | avg_loss = 0.0035
Epoch no. 1 | instant loss = 0.02 | avg_loss = 0.02
Epoch no. 1 | instant loss = 0.0157 | avg_loss = 0.0157
Epoch no. 1 | instant loss = 0.002 | avg_loss = 0.002
Epoch no. 1 | instant loss = 0.0015 | avg_loss = 0.0015
Epoch no. 1 | instant loss = 0.0024 | avg_loss = 0.0024
Epoch no. 1 | instant loss = 0.0076 | avg_loss = 0.0076
Epoch no. 1 | instant loss = 0.0106 | avg_loss = 0.0106
Epoch no. 1 | instant loss = 0.0009 | avg_loss = 0.0009
Epoch no. 1 | instant loss = 0.0046 | avg_loss = 0.0046
Epoch no. 1 | instant loss = 0.0022 | avg_loss = 0.0022
Epoch no. 1 | instant loss = 0.0303 | avg_loss = 0.0303
Epoch no. 1 | instant loss = 0.0168 | avg_loss = 0.0168
Epoch no. 1 | instant loss = 0.0003 | avg_loss = 0.0003
